wave-length,optical-strength,light
514,0.975031991,0.975031991
515,0.97473447,0.97473447
516,0.97418884,0.97418884
517,0.973922721,0.973922721
518,0.974012135,0.974012135
519,0.97487963,0.97487963
520,0.976295225,0.976295225
521,0.978029236,0.978029236
522,0.97937666,0.97937666
523,0.980171073,0.980171073
524,0.979867853,0.979867853
525,0.978678461,0.978678461
526,0.977672841,0.977672841
527,0.977817282,0.977817282
528,0.978763693,0.978763693
529,0.979200003,0.979200003
530,0.97896954,0.97896954
531,0.979686525,0.979686525
532,0.981744907,0.981744907
533,0.983612296,0.983612296
534,0.983362802,0.983362802
535,0.981348795,0.981348795
536,0.979627547,0.979627547
537,0.978832161,0.978832161
538,0.979445624,0.979445624
539,0.980866756,0.980866756
540,0.982348444,0.982348444
